Date,AUD,BRL,CAD,CHF,CNY,EUR,GBP,HUF,INR,JPY,MXN,NOK,NZD,PLN,SEK,TWD,ZAR
2024-02-26,1.5231399536132812,4.993500232696533,1.3507200479507446,0.8812500238418579,7.194399833679199,0.9242100119590759,0.7890999913215637,359.114013671875,82.88179779052734,150.4980010986328,17.113929748535156,10.531720161437988,1.616320013999939,3.9814999103546143,10.316740036010742,31.601999282836914,19.30579948425293
2024-02-27,1.5291459560394287,4.978899955749512,1.3501299619674683,0.8798999786376953,7.196300029754639,0.9215800166130066,0.7883599996566772,358.69000244140625,82.85199737548828,150.5659942626953,17.08169937133789,10.498270034790039,1.6215100288391113,3.970766067504883,10.274869918823242,31.5487003326416,19.212600708007812
2024-02-28,1.5281410217285156,4.932400226593018,1.3531700372695923,0.8787999749183655,7.197400093078613,0.9221000075340271,0.7885400056838989,360.4200134277344,82.94819641113281,150.4949951171875,17.066959381103516,10.525270462036133,1.620669960975647,3.970115900039673,10.303460121154785,31.576000213623047,19.069400787353516
2024-02-29,1.5397169589996338,4.967299938201904,1.3577500581741333,0.8787099719047546,7.196000099182129,0.9226099848747253,0.7896999716758728,362.8399963378906,82.91190338134766,150.656005859375,17.087299346923828,10.590479850769043,1.640123963356018,3.9819068908691406,10.331649780273438,31.647899627685547,19.25309944152832
2024-03-01,1.5388400554656982,4.969799995422363,1.3573700189590454,0.8844000101089478,7.18720006942749,0.9254999756813049,0.7920500040054321,363.1659851074219,82.910400390625,150.09500122070312,17.050060272216797,10.618359565734863,1.6431699991226196,3.9904000759124756,10.368550300598145,31.614900588989258,19.180419921875
2024-03-04,1.5318900346755981,4.952700138092041,1.355239987373352,0.8833400011062622,7.195799827575684,0.9222800135612488,0.789870023727417,363.0899963378906,82.84609985351562,150.10499572753906,17.009370803833008,10.512900352478027,1.638319969177246,3.9802069664001465,10.30659008026123,31.55929946899414,19.07699966430664
2024-03-05,1.5366599559783936,4.944900035858154,1.357200026512146,0.885200023651123,7.19890022277832,0.9212200045585632,0.7878999710083008,363.95098876953125,82.9104995727539,150.46600341796875,16.95507049560547,10.567540168762207,1.6402599811553955,3.979099988937378,10.364399909973145,31.509300231933594,19.03030014038086
2024-03-06,1.537539005279541,4.957099914550781,1.3589999675750732,0.8835800290107727,7.196000099182129,0.9211500287055969,0.7871000170707703,362.5169982910156,82.88480377197266,150.0489959716797,16.932100296020508,10.569299697875977,1.6426299810409546,3.9703099727630615,10.37771987915039,31.54050064086914,18.94070053100586
2024-03-07,1.52292799949646,4.943600177764893,1.3512699604034424,0.882099986076355,7.195899963378906,0.9174699783325195,0.7852100133895874,361.260009765625,82.81909942626953,149.2689971923828,16.867799758911133,10.479049682617188,1.6318800449371338,3.9416539669036865,10.27534008026123,31.464000701904297,18.775400161743164
2024-03-08,1.5102770328521729,4.933800220489502,1.3451999425888062,0.8770999908447266,7.192299842834473,0.9132300019264221,0.7803000211715698,360.8349914550781,82.7522964477539,147.8679962158203,16.864700317382812,10.396010398864746,1.61844003200531,3.9251999855041504,10.218910217285156,31.434799194335938,18.66390037536621
